codePostal,codeCommune,nomCommune,libelleAcheminement
10200,10002,Ailleville,AILLEVILLE
10160,10003,Aix-Villemaur-Pâlis,AIX-VILLEMAUR-PALIS
10190,10003,Aix-Villemaur-Pâlis,AIX-VILLEMAUR-PALIS
10700,10004,Allibaudières,ALLIBAUDIERES
10140,10005,Amance,AMANCE
10700,10006,Arcis-sur-Aube,ARCIS SUR AUBE
10200,10007,Arconville,ARCONVILLE
10140,10008,Argançon,ARGANCON
10340,10009,Arrelles,ARRELLES
10330,10010,Arrembécourt,ARREMBECOURT
10200,10011,Arrentières,ARRENTIERES
10200,10012,Arsonval,ARSONVAL
10320,10013,Assenay,ASSENAY
10220,10014,Assencières,ASSENCIERES
10150,10015,Aubeterre,AUBETERRE
10240,10017,Aulnay,AULNAY
10130,10018,Auxon,AUXON
10220,10019,Val-d'Auzon,VAL D AUZON
10400,10020,Avant-lès-Marcilly,AVANT LES MARCILLY
10240,10021,Avant-lès-Ramerupt,AVANT LES RAMERUPT
10340,10022,Avirey-Lingey,AVIREY LINGEY
10290,10023,Avon-la-Pèze,AVON LA PEZE
10130,10024,Avreuil,AVREUIL
10340,10025,Bagneux-la-Fosse,BAGNEUX LA FOSSE
10330,10026,Bailly-le-Franc,BAILLY LE FRANC
10330,10027,Balignicourt,BALIGNICOURT
10210,10028,Balnot-la-Grange,BALNOT LA GRANGE
10110,10029,Balnot-sur-Laignes,BALNOT SUR LAIGNES
10600,10030,Barberey-Saint-Sulpice,BARBEREY SAINT SULPICE
10400,10031,Barbuise,BARBUISE
10200,10032,Baroville,BAROVILLE
10200,10033,Bar-sur-Aube,BAR SUR AUBE
10110,10034,Bar-sur-Seine,BAR SUR SEINE
10310,10035,Bayel,BAYEL
10190,10037,Bercenay-en-Othe,BERCENAY EN OTHE
10290,10038,Bercenay-le-Hayer,BERCENAY LE HAYER
10200,10039,Bergères,BERGERES
10130,10040,Bernon,BERNON
10110,10041,Bertignolles,BERTIGNOLLES
10160,10042,Bérulle,BERULLE
10170,10043,Bessy,BESSY
10500,10044,Bétignicourt,BETIGNICOURT
10140,10045,Beurey,BEUREY
10500,10046,Blaincourt-sur-Aube,BLAINCOURT SUR AUBE
10500,10047,Blignicourt,BLIGNICOURT
10200,10048,Bligny,BLIGNY
10800,10049,Les Bordes-Aumont,LES BORDES AUMONT
10140,10050,Bossancourt,BOSSANCOURT
10320,10051,Bouilly,BOUILLY
10380,10052,Boulages,BOULAGES
10270,10053,Bouranton,BOURANTON
10290,10054,Bourdenay,BOURDENAY
10110,10055,Bourguignons,BOURGUIGNONS
10220,10056,Bouy-Luxembourg,BOUY LUXEMBOURG
10400,10057,Bouy-sur-Orvin,BOUY SUR ORVIN
10340,10058,Bragelogne-Beauvoir,BRAGELOGNE-BEAUVOIR
10500,10059,Braux,BRAUX
10450,10060,Bréviandes,BREVIANDES
10220,10061,Brévonnes,BREVONNES
10140,10062,Briel-sur-Barse,BRIEL SUR BARSE
10500,10063,Brienne-la-Vieille,BRIENNE LA VIEILLE
10500,10064,Brienne-le-Château,BRIENNE LE CHATEAU
10240,10065,Brillecourt,BRILLECOURT
10190,10066,Bucey-en-Othe,BUCEY EN OTHE
10800,10067,Buchères,BUCHERES
10110,10068,Buxeuil,BUXEUIL
10110,10069,Buxières-sur-Arce,BUXIERES SUR ARCE
10110,10070,Celles-sur-Ource,CELLES SUR OURCE
10110,10071,Chacenay,CHACENAY
10500,10072,La Chaise,LA CHAISE
10500,10073,Chalette-sur-Voire,CHALETTE SUR VOIRE
10130,10074,Chamoy,CHAMOY
10700,10075,Champfleury,CHAMPFLEURY
10200,10076,Champignol-lez-Mondeville,CHAMPIGNOL LEZ MONDEVILLE
10700,10077,Champigny-sur-Aube,CHAMPIGNY SUR AUBE
10140,10078,Champ-sur-Barse,CHAMP SUR BARSE
10340,10079,Channes,CHANNES
10210,10080,Chaource,CHAOURCE
10600,10081,La Chapelle-Saint-Luc,LA CHAPELLE ST LUC
10700,10082,Chapelle-Vallon,CHAPELLE VALLON
10260,10083,Chappes,CHAPPES
10150,10084,Charmont-sous-Barbuise,CHARMONT-SOUS-BARBUISE
10290,10085,Charmoy,CHARMOY
10380,10086,Charny-le-Bachot,CHARNY LE BACHOT
10210,10087,Chaserey,CHASEREY
10510,10089,Châtres,CHATRES
10170,10090,Chauchigny,CHAUCHIGNY
10240,10091,Chaudrey,CHAUDREY
10110,10092,Chauffour-lès-Bailly,CHAUFFOUR LES BAILLY
10500,10093,Chaumesnil,CHAUMESNIL
10330,10094,Chavanges,CHAVANGES
10700,10095,Le Chêne,LE CHENE
10190,10096,Chennegy,CHENNEGY
10110,10097,Chervey,CHERVEY
10210,10098,Chesley,CHESLEY
10130,10099,Chessy-les-Prés,CHESSY LES PRES
10390,10100,Clérey,CLEREY
10240,10101,Coclois,COCLOIS
10200,10102,Colombé-la-Fosse,COLOMBE LA FOSSE
10200,10103,Colombé-le-Sec,COLOMBE LE SEC
10800,10104,Cormost,CORMOST
10500,10105,Courcelles-sur-Voire,COURCELLES SUR VOIRE
10400,10106,Courceroy,COURCEROY
10130,10107,Coursan-en-Othe,COURSAN EN OTHE
10130,10108,Courtaoult,COURTAOULT
10260,10109,Courtenot,COURTENOT
10270,10110,Courteranges,COURTERANGES
10250,10111,Courteron,COURTERON
10210,10112,Coussegrey,COUSSEGREY
10200,10113,Couvignon,COUVIGNON
10100,10114,Crancey,CRANCEY
10150,10115,Creney-près-Troyes,CRENEY PRES TROYES
10320,10116,Crésantignes,CRESANTIGNES
10500,10117,Crespy-le-Neuf,CRESPY LE NEUF
10130,10118,Les Croûtes,LES CROUTES
10360,10119,Cunfin,CUNFIN
10210,10120,Cussangy,CUSSANGY
10240,10121,Dampierre,DAMPIERRE
10130,10122,Davrey,DAVREY
10500,10123,Dienville,DIENVILLE
10190,10124,Dierrey-Saint-Julien,DIERREY ST JULIEN
10190,10125,Dierrey-Saint-Pierre,DIERREY ST PIERRE
10200,10126,Dolancourt,DOLANCOURT
10240,10127,Dommartin-le-Coq,DOMMARTIN LE COQ
10330,10128,Donnement,DONNEMENT
10220,10129,Dosches,DOSCHES
10700,10130,Dosnon,DOSNON
10170,10131,Droupt-Saint-Basle,DROUPT SAINT BASLE
